claim_id,subsystem,address,working_symbol,claim,source_id,evidence_locator,confidence,confirmed_by_observation,implementation_status,test_target,open_question_id,binding_scope,engine_obligation
MOD-002,modifiers,004A2690,sum_commander_aura_modifiers_candidate,Commander aura uses a distinct data channel from personal hero modifiers.,EXP-CI06,function body and comparison with 004A1F90,strong inference,no,oracle:partial; core:open,MOD-AURA-001,"D1,D6",legacy_behavior,Keep commander aura contributions distinct from personal hero modifiers.
DMG-001,damage,004CEC40,resolve_attack_against_defence_candidate,"Legacy power spread, defence subtraction and minimum-damage chance are fully recovered.",EXP-CI04,function body and assembly,proven,no,oracle:implemented; core:implemented,DAMAGE-BASE-001,,legacy_behavior,"Reproduce power spread, defence subtraction, clamps, chip chance, and integer ordering exactly."
DMG-002,damage,004D2E60,calculate_melee_or_counterattack_damage_candidate,Calculates ordinary attack or counterattack using custom register storage and modifier-specific defence/resistance branches.,EXP-CI05,function body and callers,proven,no,oracle:partial; core:partial,DAMAGE-MELEE-001,,legacy_behavior,Preserve melee/counterattack branch selection and integer ordering; register allocation is not binding.
DMG-003,damage,004D2DA0,calculate_ranged_attack_damage_candidate,Calculates ranged damage against ranged defence or resistance and exposes modifier-dependent branches.,EXP-CI05,function body and callers,proven,no,oracle:partial; core:partial,DAMAGE-RANGED-001,D4,legacy_behavior,Preserve ranged defence/resistance selection and modifier-dependent branches; register allocation is not binding.
COMBAT-001,combat,004DCD90,execute_melee_attack_exchange_candidate,"Performs approach movement, possible defender first strike, primary melee attack and possible retaliation; secondary effects precede primary life subtraction.",EXP-CI11,complete listing,proven,no,oracle:partial; core:partial,MELEE-ORDER-001,13,legacy_behavior,"Reproduce approach, first-strike, attack, secondary-effect, damage, and retaliation ordering."
COMBAT-002,combat,004D7050,execute_ranged_attack_candidate,"Performs shot-count selection, ammo use, ranged damage, on-hit modifiers, damage-channel application, stamina deduction and activation end.The base stamina cost is 1 when live +0x04 is at least 004D0560 effective speed and 2 when it is below; modifier 0x12 suppresses the deduction. The executor then clears +0x04 and +0x5C.",EXP-CI10;EXP-R8A-001;EXP-R8B-001,004D7050 complete listing; comparator 004D7953..004D797D; activation clear in executor tail,proven,no,oracle:partial; core:partial; current movement-history discriminator diverges,RANGED-EXEC-001;RANGED-STAMINA-001,D4,legacy_behavior,"Reproduce shot count, ammo, damage-channel and activation-end ordering; derive base stamina cost from live remaining capacity versus current effective speed, not movement history."
STAMINA-001,stamina,004D0560/004D7050/004D9408~/004E0280,get_effective_battle_speed_candidate / ranged stamina discriminator / capacity restoration / unit selection,"Effective battle speed is definition speed plus numeric modifier ID 7 from persistent, intrinsic, runtime and eligible commander-aura providers, then minus one below stamina 5 and again below stamina 3 while above 1, with a final floor of 1.Ranged base stamina cost compares live +0x04 with that current effective speed. Non-movement effects can restore or increment +0x04, while ordinary reselection preserves it, so steps_this_round is not an equivalent input.",EXP-R8A-001;EXP-R8B-001;EXP-R8C-001;EXP-R8D-001;EXP-R8E-001,004D0560 complete body; 004D7953..004D797D comparator; action-effect type 7 capacity add/cap; 004E0280 selection write and no +0x04/+0x5C mutation,proven,no,documentation complete; oracle/core correction and fixture pending,RANGED-STAMINA-001,,legacy_behavior,Use live remaining capacity versus current effective speed for the 1/2 stamina branch. Keep steps_this_round diagnostic or native-mode only; do not use it as the Genesis compatibility discriminator.
COMBAT-003,combat,004D9800,process_melee_or_counterattack_secondary_effects_candidate,"Processes melee hit drains, debuffs, triggered actions, adjacent attacks and damage-proportional healing.",EXP-CI07,function body and EXP-CI11 callers,strong inference,no,oracle:open; core:open,MELEE-SECONDARY-001,"D1,D2",legacy_behavior,Reproduce the recovered secondary-effect sequence once each case is classified.
DMG-004,damage,004D61E0,apply_damage_to_battle_unit_candidate,"Increments one of four damage channels, removes remove-on-damage nodes, subtracts life, resolves death and applies large-hit morale except on channel 3.",EXP-CI07,function body,proven,no,oracle:partial; core:partial,DAMAGE-SINK-001,D4,legacy_behavior,"Preserve channel accounting, remove-on-damage timing, life subtraction, death dispatch, and channel-3 morale exception."
STATUS-001,runtime_effects,004CEC00,initialize_runtime_modifier_node_candidate,Initializes a 0x20 doubly linked runtime node and inserts it at the head.,EXP-CI07,function body,proven,no,oracle:implemented; core:missing,STATUS-NODE-001,D3,original_persistence,Preserve list ordering and lifecycle semantics; require the 0x20 physical layout only for original-compatible decoding.
MORALE-001,morale,004D0A70,adjust_battle_unit_morale_candidate,Modifier 0x13 blocks adjustment; underflow raises a break accumulator in ten-point steps and clamps current morale to zero.,EXP-CI07,function body,proven,no,oracle:partial; core:partial,MORALE-ADJUST-001,8,legacy_behavior,"Reproduce adjustment blocking, underflow accumulator increments, and zero clamp."
DEATH-001,death,004D1D30,resolve_battle_unit_death_candidate,"Handles adjacent morale, revival, transformation rollback, replacement, persistent/battle-owned cleanup and reward statistics.",EXP-CI08,function body,proven,no,oracle:open; core:open,DEATH-LIFECYCLE-001,D5,legacy_behavior,"Preserve death, revival, rollback, replacement, cleanup, and reward ordering."
CONTROL-001,control,004D1BF0,transfer_battle_unit_to_opposite_side_slot_candidate,"Copies a full tactical record to an opposite-side slot, preserves slot-local UI state and clears the source record.",EXP-CI09,function body and assembly,proven,no,oracle:open; core:open,CONTROL-TRANSFER-001,D5,legacy_behavior,"Preserve side transfer, destination copy, source clearing, and slot-local state semantics."
GRID-001,battlefield,004CE9E0,collect_adjacent_battle_units_candidate,Collects the six living adjacent units on an odd-row offset hex grid from a 37-slot side roster.,EXP-CI08,function body,proven,no,oracle:implemented; core:implemented,GRID-ADJ-001,2,legacy_behavior,Use the recovered odd-row adjacency and living-unit filtering.
FORMATION-001,battlefield,004E4660,initialize_army_battle_formation_candidate,"Uses persistent formation coordinates, resolves collisions and mirrors X for the opposing side as 7-X.",EXP-CI09,function body,strong inference,no,oracle:partial; core:partial,FORMATION-001,2,legacy_behavior,"Preserve formation coordinates, collision handling, and opposing-side X mirroring."
ACTION-001,battle_actions,004D7A20~,apply_battle_action_to_unit_candidate,"Processes eight effect clauses with hero magnitude/aux scaling, target resistance scaling, runtime-effect merging and special effect branches.",EXP-CI10,large dispatcher listing,strong inference,no,oracle:partial; core:open,ACTION-DISPATCH-001,"D2,D3",legacy_behavior,"Implement each classified clause with recovered scaling, resistance, merge, and immediate/runtime behaviour."
PARSER-001,parser,0045EE00,read_var_token_to_eax_candidate,"Reads a token into hidden EAX buffer until ':' or ';', consumes delimiter, terminates and returns length.",EXP-CI05,function body and parser callers,strong inference,no,tools:partial,VAR-LEXER-001,,eador_var_import,"Parse delimiters, token termination, sign, and EOF according to the Eador .var dialect."
ECON-001,economy,00432E60,calculate_unit_gold_upkeep_candidate,"Combines base upkeep, three attachment deltas, percentage modifier 0x55 and flat modifier 0x36, then clamps to zero.",EXP-CI02,function body,proven,no,oracle:open; core:open,ECON-UPKEEP-001,,legacy_behavior,"Preserve provider inclusion, percentage/flat order, truncation, and zero clamp."
ECON-002,economy,0046B1D0/0046B2A0,calculate_unit_*_recruitment_cost_candidate,"Gold and gem recruitment use parallel base, ruler, resource-surcharge and route/distance pipelines.",EXP-CI02,function bodies,strong inference,no,oracle:open; core:open,ECON-RECRUIT-001,,legacy_behavior,Preserve gold/gem recruitment pipelines and route/resource integer ordering once normalized.
ECON-003,economy,00456AF0/00458A90,calculate_province_*_income_candidate,"Province income combines population/development tier, active sites, ruler structures and stationed-army economic modifiers.",EXP-CI01,function bodies and provider helpers,strong inference,no,oracle:open; core:open,ECON-PROVINCE-001,,legacy_behavior,Preserve all recovered province-income providers and integer ordering once normalized.
MORALE-002,morale,004D1890/004D1660/004D14A0,get_effective_battle_*attack_candidate,"All three offensive stats use the same absolute-morale curve. Above 15, bands begin at triangular offsets 16,18,21,25,30,36,43,51 and add 5 percentage points each. The internal scaled value is truncated to the pre-morale integer before the percentage adjustment.",EXP-R1-001;EXP-R5-001;DOC-NH-MORALE,identical high-morale loops and pre-morale signed divide-by-100 sequences in all three function bodies; independent published table,proven,no,oracle/core implemented; binary oracle fixture passes,STATS-MORALE-001;STATS-MORALE-002;STATS-MORALE-003,,legacy_behavior,"Reproduce the complete absolute-morale curve, pre-morale truncation point, signed percentage rounding, and shared attack/counter/ranged application."
MORALE-003,morale,004D1890/004D1660/004D14A0,negative_morale_rounding,"Below morale 6, bonus_percent is 10*morale-60. The already-truncated pre-morale integer is multiplied by that signed percentage and divided by 100 with truncation toward zero, then added to pre and clamped to at least 1.",EXP-R5-001,"attack 004D1995..004D19ED; counter 004D1824..004D187B; ranged 004D15F6..004D164D: reciprocal multiply 0x51EB851F, SAR 5, sign correction, add, clamp",proven,no,oracle/core implemented; rounding-sensitive vectors committed,STATS-MORALE-003,,legacy_behavior,Use signed truncation toward zero for the percentage adjustment; do not replace the low-morale path with floor(pre*multiplier).
ATTACK-001,stats,004D1890/004D1660/004D14A0,get_effective_battle_*attack_candidate,"Attack and counterattack return zero first when modifier 0x26 is present; otherwise they have no zero-stat guard and their final clamp returns at least 1. Ranged attack instead returns zero before later providers and state penalties when the early sum of definition base, instance modifiers and intrinsic modifiers is zero; only its nonzero path reaches the final clamp.",EXP-R5-001,attack 004D1895..004D18A7 and 004D19E8..004D19ED; counter 004D1667..004D167B and 004D1876..004D187B; ranged 004D14D0..004D14D9 and 004D1648..004D164D,proven,no,oracle/core partial: melee/counter zero clamp represented; generic ranged clamp diverges from recovered early-zero branch,STATS-ATTACK-ZERO-001,,legacy_behavior,Keep melee/counter modifier-0x26 and minimum-one behaviour distinct from the ranged early-zero return; do not apply one unconditional zero/clamp policy to all three kinds.
REF-001,content references,0045EF60/004A1F90/00432950/004D7A20~,initialize_game_content_and_state and Effects consumers,"item.var, medal.var and spell.var Effects store direct effect/modifier opcodes in the namespace described by ability_num.Number. They are not unit_upg indexes or physical ability_num record indexes. unit.var Abilityes is a separate unit_upg-index namespace.",EXP-R2-001;DATA-VAR-FULL-20260804;DATA-ABILITY-NUM;DATA-ITEM;DATA-MEDAL;DATA-SPELL;DATA-UNIT;DATA-UNIT-UPG,"loader field writes; direct comparisons/dispatch; contrasting 0x58 unit_upg indexing; Knife, Medal for Courage and Magic Spark records",proven,no,core reference namespaces and canonical IDs implemented; downstream provenance propagation incomplete,VAR-REFERENCE-001,,eador_var_import,"Resolve unit abilities through unit_upg indexes and item/medal/spell Effects as direct opcodes, retaining provenance."
LAYOUT-002,layout,0045EF60/00432950,medal definition loader and persistent modifier consumer,"The three persistent unit fields at +0x94, +0x98 and +0x9C index 0x88-byte medal.var records. Schema-14 attachment_ids is therefore a generic name for medal_ids; rename at the next schema checkpoint.",EXP-R2-001;DATA-MEDAL,medal.var loader allocation/stride and 00432950 three-slot consumer,proven,no,documentation complete; header rename deferred,LAYOUT-MEDAL-001,,original_persistence,Interpret the three original fields as medal record indexes and 0x88-stride records; normalized collections need not retain the fixed layout.
TURN-001,turn structure,004EC4C0/004E6530/004E0280/004DE2B0,run_tactical_battle_candidate / advance_battle_side_phase_candidate / select_battle_unit_and_refresh_panel_candidate / find_next_eligible_battle_unit_candidate,"Tactical combat uses whole-side phases, not unit-by-unit side alternation. The phase helper toggles the side only from explicit pass or automatic exhaustion.Ordinary selection through 004E0280 writes g_current_battle_unit and presentation links but preserves selected-unit +0x04 and +0x5C; 004DE2B0 only returns the next living eligible current-side record. The earlier 004F13C8..004F1453 interval is unit inspection through 004DA6B0, not selection.",EXP-R7-001;EXP-R8D-001;EXP-R8E-001,004EC4C0 initial side writes 004EEE1C/004EEE2D and phase calls 004F2070..004F214D; 004E6530 toggle 004E66EE..004E670F; 004E0280 selection write 004E076C..004E0796; 004DE2B0 complete body,proven,no,oracle/core whole-side RoundLoop already present; explicit binary-derived phase-order fixture pending,TURN-STRUCTURE-001,,legacy_behavior,Keep control with one side across its unit commands; preserve unit capacity across ordinary deselection/reselection; switch sides only on pass or exhaustion.
CHARGE-001,combat,004DCD90,execute_melee_attack_exchange_candidate,"Modifier 0x25 charge bonus is computed before approach movement from the attacker's current command-entry coordinates and the target's current coordinates: max(abs(dx)+abs(dy)-2,0). It does not read cumulative movement or destination displacement. If no movement is requested, the charge bonus remains zero.",EXP-CI11,"004DCDCB..004DCE18: destination/current-position gate, modifier check, coordinate reads, clamp, then move_battle_unit_candidate",proven,no,engine side pending/maintained separately,CHARGE-001;CHARGE-002,,legacy_behavior,Compute charge from command-entry attacker/target coordinates before approach movement; do not accumulate path length.
DEFENCE-001,stats,004D0820/004D06B0,get_effective_battle_defence_candidate / get_effective_battle_ranged_defence_candidate,"Ordinary and ranged defence aggregate definition, persistent instance, intrinsic, runtime, eligible commander aura and tactical providers before state handling. When current stamina is exactly zero, the signed total is divided by two with truncation toward zero; the final result is then clamped to at least zero. Ordinary uses modifier ID 4, terrain field +0x24 and terrain-linked /4; ranged uses modifier ID 5, terrain field +0x28, terrain-linked /8 and a conditional +3 when DAT_00520782 is nonzero and battle-unit +0x44 exceeds 5.",EXP-R9-001,"004D0820 complete body, especially 004D0958..004D097C; 004D06B0 complete body, especially 004D07F8..004D081C; caller register setup in 004D2E60 and 004D2DA0",proven,no,documentation complete; executable parity fixture pending,STATS-DEFENCE-001,,legacy_behavior,"Aggregate all applicable providers first; at stamina == 0 apply signed trunc0(value/2), then clamp to max(value,0). Keep ordinary and ranged provider sets distinct."
STAMINA-IMMUNITY-001,stamina,004D0AC0/004D1A00/004D1A80/004D2410/004D7050/004D9800/004DCD90/004E2E00/004E6530/004EEE00~/004F3790/004F4970~/004F5D80~/004F6210,modifier_0x12_consumer_and_stamina_write_audit,"Effective modifier 0x12 is checked by every recovered reachable tactical stamina-decrease path and causes that mutation to be skipped. The checks are distributed rather than enforced by one setter. AI scoring, aggregate construction, path comparison and selection-interface consumers also treat stamina mechanics as inapplicable. Effective stat functions do not query 0x12 and continue to use live stamina.",EXP-R11-001;EXP-R11B-001,complete immediate-0x12 call inventory; focused assembly around every consumer; downward +0x10 write audit; 004E1973 assembly supplement,proven,no,documentation complete; implementation maintained separately,STAMINA-IMMUNITY-001,,legacy_behavior,"In Genesis compatibility execution, treat effective modifier 0x12 as an exemption from every recovered tactical stamina mutation and related stamina-applicability decision; do not model it as a separate stat-penalty bypass."
SMITE-001,damage,004D2E60,calculate_melee_or_counterattack_damage_candidate,"For ordinary melee attack or counterattack, the executable obtains the fully reduced effective offensive stat first. An ordinary selected 1.5x attack mode then adds trunc0(stat/2). If modifier 0x3D is positive and the target definition alignment is negative, it next adds modifier_0x3D * abs(target_alignment). The combined attack power then enters the legacy randomisation and defence/resistance resolver. Thus wound, stamina, morale and the 1.5x branch do not scale the conditional contribution, while attack randomisation does.",EXP-R9-001;DOC-EADOROPEDIA-NH-26.0620-F01,004D2E6D effective attack; 004D2E88 effective counterattack; 004D2E93..004D2EA5 selected 1.5x branch; 004D2EA9..004D2EE7 modifier 0x3D/alignment addition; 004D2F68..004D2F6D resolver call; public mechanics morale carve-out,proven,no,current generic conditional-bonus placement agrees; explicit address-free parity fixture pending,DAMAGE-CONDITIONAL-001,,legacy_behavior,"For Genesis-compatible melee attack and counterattack, add the qualifying conditional 0x3D contribution after effective-stat and selected 1.5x processing but before attack randomisation and defence/resistance resolution."
