source_id,kind,local_path,sha256,size_bytes,format,archive_mtime,repository_anchor,repository_policy,notes
EXP-CI08,decompilation_export,exports/closer_inspection_8.txt,ea4f143bc8bd38340324d22cdb7c1ca7c916cb65e51365d3522a4a48073e9ccc,13544,UTF-8/plain text,2026-08-03 14:04:48,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 8
EXP-CI09,decompilation_export,exports/closer_inspection_9.txt,bacc9d993e17cad79c5cf82a1c0abc10ebd9f8b7e679484f3eaa5337c7f7e5fd,254738,UTF-8/plain text,2026-08-03 14:51:30,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 9
EXP-CI10,decompilation_export,exports/closer_inspection_10.txt,8169d8a1b71c80b897fe6808c922ccb754a0f0dc91653a83e1f85fbf40082243,154299,UTF-8/plain text,2026-08-03 15:10:52,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 10
EXP-CI11,decompilation_export,exports/closer_inspection_11.txt,2939c333881bf33327e3cb2a74eb3a9b095e5dcb8bb8d01c4f33fb12f0c5a781,215819,UTF-8/plain text,2026-08-03 15:52:56,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 11
DATA-BF-OBJECT,game_data,data/bf_object.var,2591365919aa2ea582f2d6178ecae5168703f062c98feeea7166e0654e6e2a86,1361,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-HEROPRICE,game_data,data/heroPrice.var,83cadea1453b3f7f69381a2eac9cd89385f5f7c4c1f38f094c49c61110736bcf,123,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-HERO-CLASS,game_data,data/hero_class.var,6609072240522752b9e6d9d5809112a6f8605c6e90cf7cec269bb91045590fa5,2629,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-ITEM,game_data,data/item.var,a23b252ec5fc0bd06177aa4ab658cc02270d9b5c0e49032bcb7685e11db59269,106428,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-ITEM-SET,game_data,data/item_set.var,ac52dca377c56b34bdebdee5e93cc40d49b174b07bf0ed5940ccf05031ab1355,3936,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-ITEM-SLOT,game_data,data/item_slot.var,ec0c533f59a6d378d36ab5b8466bbb36f52963e9459ccf71326174c8d4e7a4ac,308,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-ITEM-TYPE,game_data,data/item_type.var,30875b3750a546c84445466e6adbf0f626b0e4d19860f52646cec24e8e9930c6,404,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-SKILL,game_data,data/skill.var,36b09dc20850b68e79019ec590d0027a74bf2550a23e1f48798cc271e60f0cb5,7036,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-SPELL,game_data,data/spell.var,39094bec82a2ddc1e7bfde0527c8b379d206e2d25c1c0cd5c5520a32c7b42dd8,34655,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-TERRAIN,game_data,data/terrain.var,beadc9994eedb36434b6f3f1f1a53b6f9555b5ccdd59bf32451887f7b3e047b9,734,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-UNIT,game_data,data/unit.var,2008324178f85f69f529e3676ecc3a94167a7f30217031c2d9aab4d66e07261d,125896,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-UNIT-CLASS,game_data,data/unit_class.var,7c9e530cda69b04ab8f4eaa40ad209f0dc1899da6fe1f92b3bc9be6d982b293d,192,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-UNIT-TYPE,game_data,data/unit_type.var,d8cf221a1137a0b9644d17a9eed0862edc5befc5d95d7a4d0ff3c4f825a73f30,144,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
DATA-UNIT-UPG,game_data,data/unit_upg.var,db5a86f45707bf74bf0f2b9179509bd2a2beebc8d7007ee529c6a16f7b2627fa,12901,CP1251 .var,2026-08-03 10:32:02,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Original game data; do not commit contents
EXP-R1-001,decompilation_export,binary_analysis_1.txt,3ddfa5fa662bc022ff5669ec57f1ce575fbd00e18c913727ec1b79e2222210dd,7744,UTF-8/plain text,2026-08-04,,local/private,"R1 packet: effective attack, counterattack and ranged-attack functions proving the complete high-morale branch"
DOC-NH-MORALE,published_documentation,Eadoropedia morale table (NH 26.0620.f01),,,published table,,,external/public,Independent source agreeing with the Genesis high-morale curve; add an archived URL or local snapshot when available
EXP-R2-001,decompilation_export,binary_analysis_2.txt,032d26d2f437053751fd1af1408110d81c253a9fc0ca2a92f77b78ca87523c63,392197,UTF-8/plain text,2026-08-04,,local/private,"R2 packet: initialize_game_content_and_state (0045EF60), item and medal modifier consumers, and spell action-effect consumer"
DATA-VAR-FULL-20260804,archive,var.zip,b8c5333fda583600da3f144f9d2c3043f2e0bd9696202da186e50e8dd4c0d307,477225,zip; 60 CP1251 .var files,2026-08-04,,local/private,Full supplied Genesis var collection; original data must not be committed
DATA-ABILITY-NUM,game_data,var/ability_num.var,18ceabdb24615766bd42e75f332a332222a03b33107d12763fdc61ddaa0fae86,10711,CP1251 .var,2026-08-03 10:32:00,,local/private,Opcode descriptor dictionary; Number is the direct identifier namespace
DATA-MEDAL,game_data,var/medal.var,59c29b1f2577c4f49c289ba422f4c0fd9da061a2da377b7c1acf55ad7c008018,2234,CP1251 .var,2026-08-03 10:32:00,,local/private,Medal definitions; direct modifier ID and magnitude pairs
EXP-R4A-001,decompilation_export,binary_analysis_3.txt,a3138045b3ebbdd543837b61d581177d99e8353ac903882d0951a4e6b0fd0e19,51532,UTF-8/plain text,2026-08-04,,local/private,"R4A packet: bounded CRT adapter, normal/contextual weighted rollers, and neighbouring deterministic selector functions"
EXP-R4B-001,decompilation_export,binary_analysis_4.txt,b2626033cd51d7e948a148b7c0ba4226eb5538b04ed5fa36a7fbb8cb32e771c2,236457,UTF-8/plain text,2026-08-04,,local/private,"R4B packet: CRT srand body, XREF list, map/setup generation and menu/transition reseed callers"
EXP-STRATEGIC-TICK-001,decompilation_export,another_unit_func.txt,e04c15ff07df9380c9411f15bf84d6b11c01c4fb905bfadc5c0419f085b29321,67760,UTF-8/plain text,2026-08-02,,local/private,Global strategic tick; begins by seeding CRT with DAT_0051E658 + DAT_0051E65C
EXP-R5-001,decompilation_export,binary_analysis_5.txt,d72c3ada82d70e8f6727c5b93c1c6823b2fe3525eb46648742a9197da0ea225f,55863,UTF-8/plain text,2026-08-04,,local/private,"R5 packet: complete effective attack, counterattack and ranged-attack listings proving signed morale division truncates toward zero"
EXP-R7-001,decompilation_export,unit_calls_3.txt,599eec64f89f2a0bb0a4e042c0e37b8748844443eada603d9057a94f0f64d08e,146893,UTF-8/plain text,2026-08-04,,local/private,R7 source: complete 004EC4C0 tactical loop; side-transition call topology cross-checked against BIN-1052-RU-GOG disassembly of 004EC4C0 and 004E6530
