artifact,symbol_or_scope,current_basis,necessity_class,transfer_class,materiality,public_basis,binary_basis,binary_basis_surface,public_basis_sufficient,required_action,owner,status,notes
core/legacy_rng.gd,"LegacyRng adapter, shared topology and reseed semantics",MSVC CRT public algorithm plus binary R4 details,N4_PROFILE,T2_REIMPLEMENT,high only for exact Genesis parity/replays,MSVC recurrence is public,"R4 adapter, call consumption and reseed epochs",behavioural_structure,partial,Keep private prototype; export address-free contract/golden vectors; independently rewrite for legacy profile,engine,preliminary,Native deterministic RNG remains T0_RETAIN.
docs/BINARY_REQUESTS.md,"binary extraction queue, addresses and focused request packets",Binary research,N3_INTERNAL,T3_RESEARCH_ONLY,none for public engine operation,None,Primary dirty-room evidence,research_artifact,no,Keep in research lineage; exclude from public implementation repo,binary,research_only,Neutral claims may be exported separately.
docs/EVIDENCE_LEDGER.csv,claim-to-binary evidence and compatibility provenance,Binary research,N3_INTERNAL,T3_RESEARCH_ONLY,none for public engine operation,None,Primary dirty-room evidence,research_artifact,no,Keep in research lineage; exclude from public implementation repo,binary,research_only,Neutral claims may be exported separately.
docs/FUNCTION_MAP.csv,"addresses, working names, ABI and navigation map",Binary research,N3_INTERNAL,T3_RESEARCH_ONLY,none for public engine operation,None,Primary dirty-room evidence,research_artifact,no,Keep in research lineage; exclude from public implementation repo,binary,research_only,Neutral claims may be exported separately.
docs/REVERSE_ENGINEERING.md,"recovered control flow, structures and function reductions",Binary research,N3_INTERNAL,T3_RESEARCH_ONLY,none for public engine operation,None,Primary dirty-room evidence,research_artifact,no,Keep in research lineage; exclude from public implementation repo,binary,research_only,Neutral claims may be exported separately.
private evidence exports,"decompiler output, assembly intervals and runtime captures",Binary research,N3_INTERNAL,T3_RESEARCH_ONLY,none for public engine operation,None,Primary dirty-room evidence,research_artifact,no,Keep in research lineage; exclude from public implementation repo,binary,research_only,Neutral claims may be exported separately.
docs/BINARY_REQUESTS.md,R16 complete action dispatcher reconstruction,Binary queue item,N3_INTERNAL,T3_RESEARCH_ONLY,whole function is not an implementation requirement,Action descriptions/data can define public semantics,Only missing observable cells may need evidence,research_artifact,no,Retire broad request; replace with action-semantics coverage matrix,binary,proposed_retirement,No same-switch-table requirement.
docs/BINARY_REQUESTS.md,R17 complete melee secondary processor,Binary queue item,N2_EXACT_EDGE,T2_REIMPLEMENT,selected trigger/order cells are material,Public ability descriptions establish many effects,Only unresolved non-commutative order needs binary fallback,research_artifact,no,Replace with finite hit/damage/kill/retaliation/death matrix,binary,reframe_required,Do not reconstruct monolithic function.
packs and content parsers,"file schemas, IDs and user-supplied content loading",Interoperability and public/generated data observation,N0_PUBLIC,T0_RETAIN,essential compatibility surface,Eadoropedia/data files and user-provided packs,Binary only for genuinely unknown schema fields,none,yes,Retain parsers and synthetic fixtures; avoid bundling unlicensed bulk content,engine,preliminary,Necessary factual format information is distinct from copied content.
tests using public formulas and synthetic fixtures,public behaviour tests,Public documentation,N0_PUBLIC,T0_RETAIN,high,Eadoropedia and project specifications,None required,none,yes,Retain and make primary transfer evidence,engine,preliminary,Prefer synthetic minimal fixtures.
tests tied to raw addresses or decompiler-shaped provider cuts,binary-specific tests,Binary evidence,N2_EXACT_EDGE,T2_REIMPLEMENT,varies,May be none,Completed R packets,mixed,no,Convert to address-free input/output vectors; exclude raw addresses from public test names/comments,binary+engine,preliminary,Keep original evidence tests privately if useful.
packs/*/bindings.json,generated opcode-to-name bindings from ability_num.var,Generated from user-supplied content data,N0_PUBLIC,T4_DELIBERATE,essential when populated; committed skeleton is currently empty,Public/generated data observation may establish factual mappings,None required for ordinary generation,generated_content,conditional,Keep generated outputs uncommitted by default; decide redistribution policy before committing populated bindings,human+engine,empty_skeleton_only,A populated file may reproduce a substantial extracted mapping even though the generator and schema are transferable.
tools/check_public_lineage.py,public-lineage registry structural validator,Project-authored governance tooling under CX-001,N0_PUBLIC,T0_RETAIN,repository governance,DELIB-0002; WORK_ALLOCATION.md; registry schemas,None,none,yes,Transfer with the governance seed and keep recognized schemas/classes synchronized,binary/governance,accepted,Structural validation only; globs need not match and policy completeness remains outside scope.
tools/inventory_public_tests.py,public-test transfer inventory reporter,Project-authored governance tooling under CX-002,N0_PUBLIC,T0_RETAIN,repository governance,DELIB-0002; docs/WORK_ALLOCATION.md; bounded Codex contract,None,none,yes,Transfer with the governance seed; preserve deterministic read-only text and JSON reporting,binary/governance,accepted,Reports coverage gaps but never assigns transfer classes or edits the registry.
tools/test_inventory_public_tests.py,synthetic inventory-tool contract tests,Project-authored governance tests under CX-002,N0_PUBLIC,T0_RETAIN,repository governance,DELIB-0002; docs/WORK_ALLOCATION.md; bounded Codex contract,None,none,yes,"Transfer with the inventory tool; preserve path-expansion, category, determinism and immutability coverage",binary/governance,accepted,Uses synthetic temporary trees and no gameplay evidence.
tools/scan_transfer_surface.py,transfer-candidate provenance-token scanner,Project-authored governance tooling under CX-003,N0_PUBLIC,T0_RETAIN,repository governance,DELIB-0002; docs/WORK_ALLOCATION.md; bounded Codex contract,None,none,yes,Transfer with the governance seed; retain findings-as-review-input and reasoned allowlists,binary/governance,accepted,Does not sanitize files or decide transfer eligibility.
tools/test_scan_transfer_surface.py,synthetic scanner contract tests,Project-authored governance tests under CX-003,N0_PUBLIC,T0_RETAIN,repository governance,DELIB-0002; docs/WORK_ALLOCATION.md; bounded Codex contract,None,none,yes,"Transfer with the scanner; preserve pattern, T3 exclusion, allowlist, error and determinism coverage",binary/governance,accepted,"Synthetic executable-style tokens are test data, not binary evidence."
tools/check_generated_bindings.py,populated generated-bindings guard,Project-authored governance tooling under CX-004,N0_PUBLIC,T0_RETAIN,repository governance,DELIB-0002; docs/WORK_ALLOCATION.md; bounded Codex contract,None,none,yes,Transfer with the governance seed; keep the accepted empty skeleton synchronized with the pack schema,binary/governance,accepted,Reports and blocks populated or malformed bindings without modifying them.
tools/test_check_generated_bindings.py,synthetic generated-bindings guard tests,Project-authored governance tests under CX-004,N0_PUBLIC,T0_RETAIN,repository governance,DELIB-0002; docs/WORK_ALLOCATION.md; bounded Codex contract,None,none,yes,"Transfer with the guard; preserve absent, empty, malformed, populated, override and ordering coverage",binary/governance,accepted,Uses synthetic mappings only.
private evidence exports,historical deleted project_ego_overnight_governance_and_observation_update.py,One-off mixed-lineage checkpoint updater; absent from current tree,N3_INTERNAL,T3_RESEARCH_ONLY,none for public engine operation,None,Mixed-lineage governance/evidence checkpoint,research_artifact,no,Keep deleted; preserve only in mixed-lineage history; do not transfer,binary/governance,historical_deleted,Classification records the deleted historical artifact without reintroducing a literal repository path.
core/battle/scenario.gd; oracle/scenario.py,explicit profile routing and New Horizons fail-closed construction,DELIB-0003 project-owned routing architecture,N0_PUBLIC,T0_RETAIN,high profile boundary,Accepted DELIB-0003 decision and project architecture,None required,none,yes,Retain routing/fail-closed boundary after ordinary review,engine,accepted_mixed_lineage,Identity/plumbing exists; New Horizons rules compatibility is deliberately not executable.
core/content/scenario_content_provider.gd; core/content/content_db.gd; core/content/content_pack.gd; oracle/content.py,canonical scenario content injection and identity separation,Project-authored provider architecture over user-supplied packs,N0_PUBLIC,T0_RETAIN,high content boundary,Project architecture and interoperability facts,None required,none,yes,Retain provider injection and synthetic content boundary,engine,accepted_mixed_lineage,Content-definition identity battle-instance identity and display text remain separate.
core/rules/charge.gd; oracle/charge.py,Genesis command-entry charge rule,Recovered Genesis profile edge implemented from accepted neutral rule,N4_PROFILE,T2_REIMPLEMENT,material for modifier 0x25,Observable charge behavior can support profile fixtures,R3 / EXP-CI11 exact command-entry ordering,behavioural_structure,partial,Export neutral command-entry vectors and independently rewrite only for a selected Genesis profile,engine,implemented_mixed_lineage,Do not promote this profile edge to a universal engine rule.
core/battle/manual_battle_session.gd,playable tactical command/session adapter,Project-authored presentation-to-core command boundary,N0_PUBLIC,T0_RETAIN,high playable surface,Project tactical-slice contract,None,none,yes,Retain after ordinary architecture review,engine,accepted_mixed_lineage,Adapter adds no original gameplay semantics.
game/tactical/tactical_asset_resolver.gd; game/tactical/tactical_battlefield_view.gd; game/tactical/tactical_controller.gd; game/tactical/tactical_coordinate_adapter.gd; game/tactical/tactical_main.tscn,playable tactical runtime and presentation,Project-authored tactical slice with optional local assets,N0_PUBLIC,T0_RETAIN,high playable/presentation surface,Project slice specifications and direct project review,None required,none,yes,Retain authored presentation; keep original assets outside transfer,engine/presentation,accepted_mixed_lineage,Local mappings are presentation choices and establish no canonical content identity.
game/demo/demo_main.gd; game/demo/demo_main.tscn; project.godot; export_presets.cfg,Milestone demo shell and export configuration,Project-authored release/presentation configuration,N0_PUBLIC,T0_RETAIN,high release surface,REL-0.2 accepted release record,None,none,yes,Retain release shell and configuration after ordinary review,engine/release,released_g0,Milestone 0.2 is G0; Windows scaling limitation remains explicit.
tools/prepare_tactical_assets.py,local tactical presentation-asset preparation,Project-authored interoperability tooling over user-supplied local exports,N0_PUBLIC,T0_RETAIN,material optional local presentation path,Project slice contract and user-supplied local data,None required,none,yes,Retain tool; never transfer generated/private asset output,engine/presentation,accepted_mixed_lineage,Tool classification does not classify or license its local inputs/outputs.
tools/run_godot_tests.py,portable Godot test runner,Project-authored test orchestration,N0_PUBLIC,T0_RETAIN,repository validation,Project test architecture,None,none,yes,Retain with synthetic runner tests,engine,accepted_mixed_lineage,No gameplay evidence or semantics are encoded by orchestration.
tools/build_demo.py; tools/build_release_pair.py,Milestone 0.2 packaging and pair verification,Project-authored release tooling accepted by REL-0.2,N0_PUBLIC,T0_RETAIN,high release surface,REL-0.2 accepted release/tooling contract,None,none,yes,Retain deterministic packaging and fail-closed content-boundary gates,release/governance,released_g0,Determinism covers packaging a fixed Godot payload not independent PCK exports.
core/battle/scenario_numeric_ordering.gd; core/rules/damage.gd; oracle/combat.py; oracle/modifier.py,CX-008 R6/R9/R10/R11 address-free numeric compatibility surfaces,Accepted public/recovered exact-edge specifications,N2_EXACT_EDGE,T2_REIMPLEMENT,high combat behavior,Broad public mechanics insufficient for all cutoff/truncation/provider edges,R6 R9 R10 R11 accepted reductions,behavioural_structure,no,Split neutral rules/vectors by claim and independently rewrite before future public transfer,engine,implemented_mixed_lineage,Implementation does not make the recovered PROVEN evidence VERIFIED.
core/battle/action_points.gd; oracle/turn.py,effective-speed numeric modifier 7 provider aggregation,Recovered R8 rule; current battle-context/provider ownership unresolved,N2_EXACT_EDGE,T2_REIMPLEMENT,material to R8 comparisons when modifier 7 is present,Public speed tables do not establish all provider ownership/order,EXP-R8A-001 through EXP-R8E-001,behavioural_structure,no,Hold implementation for AD-1; later export a neutral provider rule and independently rewrite,engine,architecture_held,The live-capacity comparator is implemented; this provider aggregation is not.
core/battle/action_points.gd; core/battle/round_loop.gd; core/battle/scenario.gd; oracle/turn.py; oracle/scenario.py,CX-009 actor action terminality and refresh boundary,Human/engine-owned compatibility policy implemented at shared model boundary,N0_PUBLIC,T0_RETAIN,high activation behavior,Accepted CX-009 semantic-owner contract and project traces,Binary confirmation is not required for the owner-confirmed rule,none,yes,Retain authoritative action_spent model after ordinary review,engine,accepted_mixed_lineage,Reactions/refusals are non-terminal; zero movement alone does not spend the action.
core/model/status.gd; core/model/combatant.gd; core/rules/statuses.gd; oracle/statuses.py,CX-010 stable status model query stacking and explicit manipulation,Project-authored/public stable status specification,N0_PUBLIC,T0_RETAIN,high runtime model,CX-010 contract and public effect concepts,Binary layout not required,none,yes,Retain stable model; keep automatic lifecycle outside until R13 evidence,engine,accepted_mixed_lineage,Status container is not empty; automatic tick/expiry remains unresolved.
core/rules/death_lifecycle.gd; oracle/death_lifecycle.py,CX-011 tactical fatal lifecycle branch ordering,Accepted address-free reduction of Genesis death/control evidence,N2_EXACT_EDGE,T2_REIMPLEMENT,high tactical lifecycle,Public concepts do not settle exact fatal/survival branch ordering,CX-011 accepted recovered evidence,behavioural_structure,no,Export neutral event-order vectors and independently rewrite selected profile behavior,engine,implemented_mixed_lineage,Tactical scope only; strategic rewards corpses kill credit and R17 remain open.
core/rules/damage.gd; oracle/combat.py,CX-012 ranged resistance channel and modifier branch exactness,Accepted address-free reduction of recovered Genesis ranged calculator,N2_EXACT_EDGE,T2_REIMPLEMENT,high ranged damage behavior,Public descriptions do not settle signed truncation and provider cutoffs,DAMAGE-RANGED-001 accepted reduction,behavioural_structure,no,Export neutral branch vectors and independently rewrite selected profile behavior,engine,implemented_mixed_lineage,One-shot integration only; two-shot producer special modes and exact RNG remain open.
core/battle/action_execution_plan.gd; core/battle/action_recipe_resolver.gd; oracle/action_execution.py,CX-013 typed plan architecture and operation ownership,Project-authored typed plan architecture,N0_PUBLIC,T0_RETAIN,high extensibility surface,CX-013 engine-owned architecture and public action concepts,None required for plan structure,none,yes,Retain source-ID separation immutable plan model and executor ownership,engine,accepted_mixed_lineage,Does not establish a production ContentPack action catalogue.
core/battle/action_execution_plan.gd; core/battle/action_recipe_resolver.gd; oracle/action_execution.py,CX-013 Crushing Blow and Shield Bash exact recipe behavior,Mixed public action rules and accepted R10/R11 exact edges,N0_PUBLIC + N2_EXACT_EDGE,T1_SANITIZE + T2_REIMPLEMENT,material for two executable actions,Public action descriptions establish main effects,R10 placement and R11 effective-0x12 write audit,mixed,partial,Separate public recipe behavior from exact-edge vectors before future transfer,engine,implemented_mixed_lineage,Other twelve reference actions and production composition remain AD-3.
tools/reference/abil_doc.json,entire tracked JSON artifact,Tracked history does not establish source transformation or redistribution basis,unclassified,unclassified,material reference corpus,Not established,Not established,unknown,unknown,Hold transfer/classification pending the bounded PV-1 owner question,artifact owner + governance,provenance_held,Current SHA-256 aaa7a9b97369331d42470ab41b0328e9c9d6a9e5bcdff0653801744060c88be4; no class inferred.
core/model/action.gd; oracle/actions.py,CX-013 action definition identity source binding and effective-0x12 action stamina gate,Mixed project-authored action-model architecture and accepted R11 exact-edge behavior,N0_PUBLIC + N2_EXACT_EDGE,T1_SANITIZE + T2_REIMPLEMENT,material production action-definition surface,Project architecture establishes canonical/source identity separation,R11 establishes effective-0x12 stamina-write suppression,mixed,partial,Keep project-authored identity/composition structure separable from recovered exact-edge stamina vectors; resolve production composition under AD-3 before future transfer,engine,implemented_mixed_lineage,Source-ID lookup and canonical identity are project architecture; exact effective-0x12 write suppression remains recovered behavior and does not make the Python fourteen-action catalogue production truth.
core/rules/handlers/counterattack.gd; oracle/counterattack.py,CX-011 counterattack fatal-event death-resolver and charge integration,Accepted address-free reduction of recovered Genesis melee fatal-event ordering,N2_EXACT_EDGE,T2_REIMPLEMENT,high counterattack lifecycle behavior,Public combat concepts do not establish fatal-event versus final-death ordering or exact charge interaction,CX-011 and EXP-CI11 accepted reductions,behavioural_structure,no,Export neutral event-order and charge/counter vectors and independently rewrite selected profile behavior before future transfer,engine,implemented_mixed_lineage,Counterattack fatal-event integration is tactical only; strategic death/reward consequences remain outside CX-011 scope.
