modifier_id_dec,modifier_id_hex,data_labels,upgrade_names_ru,provider_count,representative_providers,recovered_mechanics,mechanics_confidence,name_status,notes
10,0x0A,Ammo,Запас снарядов +1|Запас снарядов +2|Запас снарядов +3,61,unit_upg.var/27 Запас снарядов +1 (qty 1) | unit_upg.var/28 Запас снарядов +2 (qty 2) | unit_upg.var/29 Запас снарядов +3 (qty 3) | item.var/29 Короткий лук | item.var/30 Охотничий лук | item.var/31 Длинный лук | item.var/32 Композитный лук | item.var/33 Ручной арбалет,,data only,confirmed from data,Provider list truncated
11,0x0B,Stamina,Выносливость +1|Выносливость +2|Выносливость +3,53,unit_upg.var/30 Выносливость +1 (qty 1) | unit_upg.var/31 Выносливость +2 (qty 2) | unit_upg.var/32 Выносливость +3 (qty 3) | item.var/5 Короткий посох | item.var/6 Дорожный посох | item.var/7 Длинный посох | item.var/8 Боевой посох | item.var/67 Сандалии,,data only,confirmed from data,Provider list truncated
12,0x0C,Morale,Боевой дух +1|Боевой дух +2|Боевой дух +3,37,unit_upg.var/33 Боевой дух +1 (qty 1) | unit_upg.var/34 Боевой дух +2 (qty 2) | unit_upg.var/35 Боевой дух +3 (qty 3) | item.var/85 Шапка Следопыта | item.var/88 Шлем Командира | item.var/91 Рыцарский шлем | item.var/101 Перчатки Командира | item.var/116 Серебряный браслет,,data only,confirmed from data,Provider list truncated
13,0x0D,Lesser_Undead|Undead,Младшая нежить,6,unit_upg.var/61 Младшая нежить (qty 1) | unit.var/19 Скелет via upgrade 61 | unit.var/20 Зомби via upgrade 61 | unit.var/36 Упырь via upgrade 61 | unit.var/55 Призрак via upgrade 61 | unit.var/64 Вампир via upgrade 61,suppresses wound penalty / marks undead-related state in inspected paths,strong inference,confirmed from data,
14,0x0E,Fly|Flying,Летающий,12,unit_upg.var/44 Летающий (qty 1) | item.var/397 Крылатая кольчуга | unit.var/24 Пегас via upgrade 44 | unit.var/31 Гарпия via upgrade 44 | unit.var/39 Горгулья via upgrade 44 | unit.var/47 Грифон via upgrade 44 | unit.var/52 Мантикора via upgrade 44 | unit.var/55 Призрак via upgrade 44,suppresses effective modifiers 0x20..0x22,proven,confirmed from data,Provider list truncated
15,0x0F,Float,Низколетающий,5,unit_upg.var/45 Низколетающий (qty 1) | item.var/269 Сапоги Левитации | item.var/349 Пояс Левитации | unit.var/17 Фея via upgrade 45 | unit.var/21 Бес via upgrade 45,,data only,confirmed from data,
16,0x10,FirstStrike|First_strike,Первый удар,10,unit_upg.var/46 Первый удар (qty 1) | item.var/19 Протазан | item.var/20 Алебарда | item.var/153 Меч Древних | item.var/161 Бердыш | item.var/162 Гвардейская алебарда | item.var/163 Копье Возмездия | item.var/164 Разящее копье,enables pre-emptive strike when defender can act,proven,confirmed from data,Provider list truncated
17,0x11,Piercing_shot,Бронебойный выстрел,12,unit_upg.var/47 Бронебойный выстрел (qty 1) | item.var/33 Ручной арбалет | item.var/34 Легкий арбалет | item.var/35 Тяжелый арбалет | item.var/36 Гвардейский арбалет | item.var/198 Гномий арбалет | item.var/199 Точный арбалет | item.var/200 Зачарованный арбалет,halves target ranged defence in ranged damage,proven,confirmed from data,Provider list truncated
18,0x12,Restless,Неутомимость,2,unit_upg.var/48 Неутомимость (qty 1) | item.var/174 Молот Создателя,exempts unit from all recovered tactical stamina mutations and related AI/availability/aggregation consumers; distributed local checks; effective stats still use live stamina,proven,confirmed from data,EXP-R11-001; EXP-R11B-001; no unguarded downward tactical +0x10 write recovered
19,0x13,Soulless,Неустрашимость,5,unit_upg.var/49 Неустрашимость (qty 1) | unit.var/27 Баллиста via upgrade 49 | unit.var/39 Горгулья via upgrade 49 | unit.var/46 Катапульта via upgrade 49 | unit.var/71 Каменный голем via upgrade 49,prevents morale adjustment,proven,confirmed from data,
20,0x14,,Двойной выстрел,1,unit_upg.var/50 Двойной выстрел (qty 5),,data only,confirmed from data,
21,0x15,Recover|Reinvigoration|Rejuveration,Восстановление +1,15,unit_upg.var/51 Восстановление +1 (qty 1) | item.var/118 Кушак Волшебника | item.var/120 Походный плащ | item.var/121 Теплый плащ | item.var/122 Плащ Следопыта | item.var/228 Священный щит | item.var/286 Капюшон Воплощений | item.var/307 Перчатки Медитации,,data only,confirmed from data,Provider list truncated
22,0x16,Meditation,Медитация,3,unit_upg.var/52 Медитация (qty 1) | unit.var/22 Монах via upgrade 52 | unit.var/45 Жрец via upgrade 52,,data only,confirmed from data,
23,0x17,GatherAmmo|Gather_Ammo|Gather_ammo,Сбор снарядов,7,unit_upg.var/53 Сбор снарядов (qty 3) | unit_upg.var/134 Сбор снарядов (qty 1) | item.var/194 Лук Черного Леса | unit.var/2 Пращник via upgrade 53 | unit.var/18 Половинчик via upgrade 53 | unit.var/46 Катапульта via upgrade 53 | unit.var/66 Великан via upgrade 53,,data only,confirmed from data,
24,0x18,Heal|Heal4|Healing,Целительство|Целительство +1,9,unit_upg.var/26 Целительство +1 (qty 1) | unit_upg.var/54 Целительство (qty 3) | unit_upg.var/66 Целительство (qty 4) | unit_upg.var/94 Целительство (qty 7) | item.var/139 Посох Целителя | unit.var/8 Лекарь via upgrade 66 | unit.var/22 Монах via upgrade 66 | unit.var/45 Жрец via upgrade 94,,data only,confirmed from data,Provider list truncated
25,0x19,Berserk,Берсерк|Берсерк +1,7,unit_upg.var/55 Берсерк (qty 2) | unit_upg.var/93 Берсерк +1 (qty 1) | unit_upg.var/95 Берсерк (qty 5) | item.var/156 Топор Берсерка | item.var/178 Меч Безумия | unit.var/9 Варвар via upgrade 55 | unit.var/51 Минотавр via upgrade 95,berserk-like special override; runtime positive value suppresses persistent contribution,proven,confirmed from data,
26,0x1A,Agility,Ловкость,6,unit_upg.var/56 Ловкость (qty 1) | item.var/137 Молниеносный кинжал | item.var/152 Клинок Ночи | unit.var/10 Вор via upgrade 56 | unit.var/18 Половинчик via upgrade 56 | unit.var/30 Убийца via upgrade 56,prevents enemy retaliation in melee exchange,proven,confirmed from data,
27,0x1B,MagicStrike|Magic_strike,Магический удар,8,unit_upg.var/57 Магический удар (qty 1) | item.var/138 Кинжал Междумирья | item.var/147 Зачарованный клинок | item.var/151 Огненный меч | unit.var/35 Дриада via upgrade 57 | unit.var/53 Единорог via upgrade 57 | unit.var/55 Призрак via upgrade 57 | unit.var/70 Феникс via upgrade 57,melee attack resolves against resistance instead of defence,proven,confirmed from data,
28,0x1C,MagicShot|Magic_Shot|Magic_shot,Магический выстрел,23,unit_upg.var/58 Магический выстрел (qty 1) | item.var/37 Простой жезл | item.var/38 Жезл Шамана | item.var/39 Жезл Колдуна | item.var/40 Жезл Мага | item.var/203 Эфирный арбалет | item.var/205 Огненный жезл | item.var/206 Жезл Молний,ranged attack uses resistance path and received-damage channel 2,proven,confirmed from data,Provider list truncated
29,0x1D,,Марш-бросок,2,"unit_upg.var/59 Марш-бросок (qty 3) | skill.var/12 Атлетика [hero, 3]",,data only,confirmed from data,
30,0x1E,Immune_to_magic|MagicImmunity,Иммунитет к магии,4,unit_upg.var/60 Иммунитет к магии (qty 1) | item_set.var/13 Драконьи доспехи | unit.var/60 Дракон via upgrade 60 | unit.var/71 Каменный голем via upgrade 60,,data only,confirmed from data,
32,0x20,Forester|Forestwalk,Знание леса,13,unit_upg.var/62 Знание леса (qty 8) | item.var/273 Сапоги Единорога | item.var/346 Пояс Друида | unit.var/15 Эльф via upgrade 62 | unit.var/17 Фея via upgrade 62 | unit.var/33 Паук via upgrade 62 | unit.var/34 Кентавр via upgrade 62 | unit.var/35 Дриада via upgrade 62,,data only,confirmed from data,Provider list truncated
33,0x21,HillDweller|Hill_Dweller|Hill_dweller|Hillwalk,Знание холмов,10,"unit_upg.var/63 Знание холмов (qty 8) | item.var/272 Сапоги Мантикоры | item.var/344 Наруч Гор | unit.var/16 Гном via upgrade 63 | unit.var/50 Людоед via upgrade 63 | unit.var/63 Циклоп via upgrade 63 | unit.var/66 Великан via upgrade 63 | skill.var/26 Знание троп [squad, 1]",,data only,confirmed from data,Provider list truncated
34,0x22,SwampDweller|Swamp_Dweller|Swamp_dweller|Swampwalk,Знание болот,13,unit_upg.var/64 Знание болот (qty 8) | item.var/271 Сапоги Василиска | item.var/358 Плащ Дождей | unit.var/13 Гоблин via upgrade 64 | unit.var/32 Василиск via upgrade 64 | unit.var/54 Тролль via upgrade 64 | unit.var/62 Гидра via upgrade 64 | unit.var/67 Медуза via upgrade 64,,data only,confirmed from data,Provider list truncated
35,0x23,FirstAid|First_Aid|First_aid,Первая помощь,11,unit_upg.var/65 Первая помощь (qty 1) | unit_upg.var/96 Первая помощь (qty 3) | unit_upg.var/110 Первая помощь (qty 6) | item.var/228 Священный щит | item.var/307 Перчатки Медитации | item.var/311 Перчатки Василиска | unit.var/24 Пегас via upgrade 65 | unit.var/53 Единорог via upgrade 96,,data only,confirmed from data,Provider list truncated
37,0x25,Charge,Атака с разгона,7,"unit_upg.var/67 Атака с разгона (qty 1) | unit.var/25 Всадник via upgrade 67 | unit.var/26 Конный лучник via upgrade 67 | unit.var/44 Рыцарь via upgrade 67 | unit.var/47 Грифон via upgrade 67 | unit.var/57 Паладин via upgrade 67 | skill.var/12 Атлетика [hero, 1]",adds coordinate-distance charge contribution before movement,proven,confirmed from data,
38,0x26,,Не сражается,1,unit_upg.var/68 Не сражается (qty 1),disables attack/counterattack and blocks retaliation,proven,confirmed from data,
39,0x27,ArmorPiercing|Piercing_Strike|Piercing_strike,Бронебойный удар,7,unit_upg.var/69 Бронебойный удар (qty 1) | item.var/3 Стилет | item.var/132 Стилет Убийцы | item.var/164 Разящее копье | unit.var/23 Гвардеец via upgrade 69 | unit.var/56 Демон via upgrade 69 | unit.var/65 Дьявол via upgrade 69,halves target defence in melee damage,proven,confirmed from data,
40,0x28,Stun|Stunning_blow,Оглушающий удар,14,unit_upg.var/70 Оглушающий удар (qty 1) | item.var/21 Палица | item.var/22 Булава | item.var/23 Молот | item.var/24 Шестопёр | item.var/168 Дубина Тролля | item.var/169 Костолом | item.var/170 Мечелом,drains target stamina on melee hit,proven,confirmed from data,Provider list truncated
41,0x29,Poison|PoisonAttack|Poison_Attack|Poisonous_bite,Яд +1|Ядовитая атака|Ядовитый удар|Ядовитый укус,13,unit_upg.var/71 Ядовитая атака (qty 1) | unit_upg.var/78 Ядовитый укус (qty 2) | unit_upg.var/133 Ядовитый удар (qty 4) | unit_upg.var/140 Яд +1 (qty 1) | item.var/132 Стилет Убийцы | item.var/152 Клинок Ночи | item.var/338 Наруч Убийцы | item_set.var/9 Доспех Мантикоры,applies poison-attack runtime package unless target has 0x2A,proven,confirmed from data,Provider list truncated
42,0x2A,PoisonImmunity|Poisono_immunity,Иммунитет к яду,8,unit_upg.var/72 Иммунитет к яду (qty 1) | item.var/365 Плащ Феникса | item_set.var/8 Доспехи Василиска | unit.var/27 Баллиста via upgrade 72 | unit.var/39 Горгулья via upgrade 72 | unit.var/46 Катапульта via upgrade 72 | unit.var/68 Слизняк via upgrade 72 | unit.var/71 Каменный голем via upgrade 72,poison immunity / blocks inspected poison application,proven,confirmed from data,
43,0x2B,Curse|LayCurse,Сглаз,7,unit_upg.var/73 Сглаз (qty 4) | item.var/135 Нож Некроманта | item.var/163 Копье Возмездия | item.var/179 Демонический клинок | item.var/207 Жезл Тьмы | unit.var/29 Колдун via upgrade 73 | unit.var/56 Демон via upgrade 73,resistance-gated curse package,proven,confirmed from data,
44,0x2C,StealAmmo|Steal_Ammo,Кража снарядов,3,unit_upg.var/74 Кража снарядов (qty 3) | item.var/310 Перчатки Вора | unit.var/31 Гарпия via upgrade 74,steals/drains target ammunition,proven,confirmed from data,
45,0x2D,DamageArmor|Damages_armor,Повреждение брони,4,unit_upg.var/75 Повреждение брони (qty 3) | item.var/160 Разрушитель | item.var/171 Щитолом | unit.var/14 Орк via upgrade 75,applies armour-damage runtime modifier,proven,confirmed from data,
46,0x2E,Stoning_eye,Окаменение|Окаменение +1,5,unit_upg.var/76 Окаменение (qty 4) | unit_upg.var/145 Окаменение (qty 6) | unit_upg.var/146 Окаменение +1 (qty 1) | unit.var/32 Василиск via upgrade 76 | unit.var/67 Медуза via upgrade 145,special ranged petrification/disabling package; replaces ordinary damage,proven,confirmed from data,
47,0x2F,Web,Паутина,2,unit_upg.var/77 Паутина (qty 6) | unit.var/33 Паук via upgrade 77,special ranged web/disabling package; replaces ordinary damage,proven,confirmed from data,
48,0x30,Regeneration,Регенерация|Регенерация +1,11,unit_upg.var/97 Регенерация (qty 3) | unit_upg.var/98 Регенерация +1 (qty 1) | item.var/181 Меч Бессмертных | item.var/250 Троллиная куртка | item.var/353 Пояс Тролля | item.var/386 Кольцо Регенерации | item_set.var/8 Доспехи Василиска | unit.var/54 Тролль via upgrade 97,,data only,confirmed from data,Provider list truncated
49,0x31,Cannibal|Cannibalize,Трупоедство,4,unit_upg.var/79 Трупоедство (qty 10) | item.var/294 Маска Людоеда | unit.var/36 Упырь via upgrade 79 | unit.var/50 Людоед via upgrade 79,,data only,confirmed from data,
50,0x32,CauseFear|Fear,Устрашение,7,unit_upg.var/80 Устрашение (qty 1) | unit_upg.var/113 Устрашение (qty 3) | item.var/166 Дьявольский трезубец | item.var/361 Плащ Ужаса | unit.var/37 Чёрт via upgrade 80 | unit.var/56 Демон via upgrade 80 | unit.var/65 Дьявол via upgrade 113,causes direct morale loss on hit,proven,confirmed from data,
51,0x33,Cripple,Калечащий удар,7,unit_upg.var/81 Калечащий удар (qty 1) | item.var/134 Тесак Мясника | item.var/155 Топор Палача | item.var/160 Разрушитель | item.var/169 Костолом | unit.var/38 Адская гончая via upgrade 81 | unit.var/49 Палач via upgrade 81,applies/refreshes crippling runtime effect,proven,confirmed from data,
52,0x34,Break_weapon|DamageWeapon|Damageweapon,Повреждение оружия,5,unit_upg.var/82 Повреждение оружия (qty 3) | item.var/160 Разрушитель | item.var/170 Мечелом | unit.var/39 Горгулья via upgrade 82 | unit.var/71 Каменный голем via upgrade 82,applies weapon-damage runtime package,proven,confirmed from data,
53,0x35,Parry,Парирование|Парирование +2,13,unit_upg.var/83 Парирование (qty 2) | unit_upg.var/85 Парирование +2 (qty 2) | item.var/148 Защитник | item.var/149 Рапира Фехтовальщика | item.var/150 Меч Правосудия | item.var/316 Перчатки Ветерана | item.var/321 Перчатки Паладина | item.var/322 Перчатки Доблести,conditional defensive contribution while parrying,proven,confirmed from data,Provider list truncated
54,0x36,,Фуражир,1,unit_upg.var/84 Фуражир (qty 4),,data only,confirmed from data,
55,0x37,Siege,Осада|Осада +1,11,unit_upg.var/99 Осада (qty 2) | unit_upg.var/100 Осада +1 (qty 1) | unit_upg.var/101 Осада (qty 3) | item.var/202 Ручная баллиста | unit.var/27 Баллиста via upgrade 99 | unit.var/46 Катапульта via upgrade 101 | unit.var/54 Тролль via upgrade 99 | unit.var/61 Древочеловек via upgrade 99,,data only,confirmed from data,Provider list truncated
56,0x38,Maradeur10|Maradeur15,Мародер 10|Мародер 15,4,unit_upg.var/86 Мародер 10 (qty 10) | unit_upg.var/87 Мародер 15 (qty 15) | unit.var/10 Вор via upgrade 87 | unit.var/11 Разбойник via upgrade 86,,data only,confirmed from data,
57,0x39,Soul_stealing|StealSoul,Похищение души|Похищение души +1,7,unit_upg.var/102 Похищение души (qty 5) | unit_upg.var/131 Похищение души +1 (qty 1) | item.var/133 Ритуальный нож | item.var/157 Душегуб | item.var/179 Демонический клинок | unit.var/55 Призрак via upgrade 102 | unit.var/65 Дьявол via upgrade 102,,data only,confirmed from data,
58,0x3A,Robber,Грабитель 10,2,unit_upg.var/88 Грабитель 10 (qty 10) | unit.var/11 Разбойник via upgrade 88,,data only,confirmed from data,
59,0x3B,CrushingBlow|Crushing_blow,Сокрушающий удар,4,unit_upg.var/89 Сокрушающий удар (qty 4) | item.var/159 Секира Ярости | item.var/173 Молот Сокрушения | unit.var/50 Людоед via upgrade 89,,data only,confirmed from data,
60,0x3C,FireArrows|FlamingArrows,Огненные стрелы|Огненные стрелы +1,6,unit_upg.var/90 Огненные стрелы (qty 2) | unit_upg.var/91 Огненные стрелы +1 (qty 1) | item.var/195 Пламенный лук | item.var/200 Зачарованный арбалет | item.var/233 Огненные стрелы | item.var/236 Стрелы Ренвера,fire-arrow/ranged special contribution; also blocks some status actions on target,strong inference,confirmed from data,
61,0x3D,SmiteEvil|Smite_evil,Сокрушение зла,4,unit_upg.var/103 Сокрушение зла (qty 1) | item.var/150 Меч Правосудия | item_set.var/14 Доспех Паладина | unit.var/57 Паладин via upgrade 103,"Against a target whose definition alignment is negative, adds magnitude * abs(target_alignment) after effective attack or counterattack and any selected ordinary-attack 1.5x branch, but before attack randomisation and defence/resistance resolution",proven,confirmed from data and public description,EXP-R9-001 004D2E6D..004D2F6D; public Eadoropedia morale carve-out; R10 closed without new extraction
62,0x3E,,Стать копейщиком,1,unit_upg.var/92 Стать копейщиком (qty 3),,data only,confirmed from data,
63,0x3F,Trample,Затаптывание|Затаптывание +2,5,unit_upg.var/104 Затаптывание +2 (qty 2) | unit_upg.var/105 Затаптывание (qty 15) | unit_upg.var/111 Затаптывание (qty 10) | unit.var/58 Боевой слон via upgrade 105 | unit.var/63 Циклоп via upgrade 111,,data only,confirmed from data,
64,0x40,Undead_Master|Undertaker,Повелитель нежити,4,unit_upg.var/137 Повелитель нежити (qty 1) | item.var/399 Книга Некруса | item.var/400 Стрелы Проклятых | unit.var/59 Чернокнижник via upgrade 137,,data only,confirmed from data,
65,0x41,Multiply_attack,Атака всех врагов,2,unit_upg.var/107 Атака всех врагов (qty 1) | unit.var/62 Гидра via upgrade 107,enables adjacent all-enemy secondary-hit branch,proven,confirmed from data,
66,0x42,Round_attack,Круговая атака,3,"unit_upg.var/108 Круговая атака (qty 4) | unit.var/49 Палач via upgrade 108 | skill.var/13 Искусство боя [hero, 6]",enables circular/adjacent secondary-hit branch under mode condition,proven,confirmed from data,
67,0x43,Entangle,Корни,2,unit_upg.var/109 Корни (qty 3) | unit.var/61 Древочеловек via upgrade 109,applies/refreshes roots effect when target survives primary damage,proven,confirmed from data,
68,0x44,DrainLife|Drain_life,Кровопийца,5,unit_upg.var/112 Кровопийца (qty 50) | item.var/158 Кровопийца | item.var/180 Меч Крови | item.var/387 Кольцо Вампира | unit.var/64 Вампир via upgrade 112,heals attacker by a percentage of primary damage,proven,confirmed from data,
69,0x45,HeavyMissile|Heavy_ammo,Тяжелые снаряды,3,unit_upg.var/114 Тяжелые снаряды (qty 3) | item.var/49 Утяжеленные стрелы | unit.var/3 Копейщик via upgrade 114,applies heavy-ammunition on-hit modifier,proven,confirmed from data,
73,0x49,,,0,,death/finalization transfer through opposite-side tactical slot,proven,unresolved,
74,0x4A,,,0,,full revival during death handling,proven,unresolved,
76,0x4C,AimedStrike|Aimed_Hit,Точный удар +1|Точный удар 2,13,unit_upg.var/127 Точный удар +1 (qty 1) | unit_upg.var/129 Точный удар 2 (qty 2) | item.var/1 Нож | item.var/2 Кинжал | item.var/4 Тесак | item.var/137 Молниеносный кинжал | item.var/149 Рапира Фехтовальщика | item.var/153 Меч Древних,subtracts from target defence in melee damage,proven,confirmed from data,Provider list truncated
77,0x4D,AimedShot|Aimed_shot|Marksman,Точный выстрел +1|Точный выстрел 2,12,unit_upg.var/128 Точный выстрел +1 (qty 1) | unit_upg.var/130 Точный выстрел 2 (qty 2) | item.var/193 Эльфийский лук | item.var/197 Лук Ренвера | item.var/199 Точный арбалет | item.var/232 Эльфийские стрелы | item.var/236 Стрелы Ренвера | item.var/314 Перчатки Снайпера,subtracts from target ranged defence,proven,confirmed from data,Provider list truncated
78,0x4E,PoisonShot|Poisonous_spit,Ядовитый выстрел|Ядовитый выстрел +1,8,unit_upg.var/132 Ядовитый выстрел +1 (qty 1) | unit_upg.var/151 Ядовитый выстрел (qty 2) | item.var/204 Арбалет Гнева | item.var/231 Отравленные стрелы | item.var/338 Наруч Убийцы | item.var/400 Стрелы Проклятых | item_set.var/9 Доспех Мантикоры | unit.var/68 Слизняк via upgrade 151,applies poison-shot on-hit modifier,proven,confirmed from data,
79,0x4F,LayVulnerability,,1,item.var/138 Кинжал Междумирья,triggers battle action 0x15 when resistance condition passes,proven,confirmed from data,
80,0x50,DiseaseCarrier|LayDisease,Насылает болезнь,3,unit_upg.var/106 Насылает болезнь (qty 1) | item.var/165 Коса Смерти | unit.var/36 Упырь via upgrade 106,triggers battle action 0x1E with resistance/category checks,proven,confirmed from data,
81,0x51,GoldIncome,,10,"item.var/239 Кафтан Торговца | item.var/290 Шляпа Торговца | item.var/324 Перчатки Величия | item.var/326 Вышитый наруч | item.var/367 Кулон Торговца | item.var/377 Кольцо Торговца | skill.var/14 Кузнечное дело [hero, 5] | skill.var/14 Кузнечное дело [hero, 10]",,data only,confirmed from data,Provider list truncated
82,0x52,GemIncome,,6,item.var/267 Астральные сапоги | item.var/285 Шляпа Иллюзий | item.var/347 Пояс Воплощений | item.var/374 Кулон Тайны | item.var/378 Кристальное кольцо | item_set.var/6 Одеяния Воплощений,,data only,confirmed from data,
84,0x54,Summon,,8,item.var/391 Паучье яйцо | item.var/392 Яйцо василиска | item.var/393 Яйцо мантикоры | item.var/394 Яйцо гидры | item.var/395 Икра слизня | item.var/396 Яйцо феникса | item.var/405 Жёлудь древочеловека | item.var/406 Заготовка голема,,data only,confirmed from data,
90,0x5A,,,0,,revert temporary tactical transformation,proven,unresolved,
91,0x5B,,,0,,tier-dependent replacement unit on death / dark-pact path,strong inference,unresolved,
92,0x5C,,,0,,special self-damage/sacrifice action-effect branch,proven,unresolved,
95,0x5F,Energy_Control|Energy_control,Контроль энергий|Контроль энергий +1,12,unit_upg.var/149 Контроль энергий (qty 2) | unit_upg.var/150 Контроль энергий +1 (qty 1) | item.var/206 Жезл Молний | item.var/208 Жезл Чернокнижника | item.var/209 Жезл Власти | item.var/210 Жезл Бури | item.var/211 Жезл Вечности | item.var/216 Сфера Мысли,subtracts from target resistance in ranged resistance path,proven,confirmed from data,Provider list truncated
96,0x60,Poisonous_flash,Ядовитая плоть|Ядовитая плоть +1,3,unit_upg.var/147 Ядовитая плоть (qty 2) | unit_upg.var/148 Ядовитая плоть +1 (qty 1) | unit.var/68 Слизняк via upgrade 147,poisonous-flesh retaliation package against attacker,proven,confirmed from data,
97,0x61,Reincarnation,Реинкарнация,2,unit_upg.var/152 Реинкарнация (qty 1) | unit.var/70 Феникс via upgrade 152,,data only,confirmed from data,
98,0x62,Tolerance,,1,item.var/403 Знамя Единства,,data only,confirmed from data,
901,0x385,,,1,"skill.var/19 Мудрость [hero, 1]",,data only,unresolved,
902,0x386,,,1,"skill.var/19 Мудрость [hero, 1]",,data only,unresolved,
903,0x387,,,1,"skill.var/19 Мудрость [hero, 1]",,data only,unresolved,
904,0x388,,,1,"skill.var/19 Мудрость [hero, 1]",,data only,unresolved,
905,0x389,SpellPower,,13,item.var/142 Посох Мага | item.var/143 Рунный посох | item.var/145 Посох Архимага | item.var/210 Жезл Бури | item.var/220 Сфера Вечности | item.var/243 Мантия Архимага | item.var/289 Корона Мыслей | item.var/335 Браслет Солнца,,data only,confirmed from data,Provider list truncated
906,0x38A,Morale|SpellDuration,,9,item.var/141 Посох Заклинателя | item.var/211 Жезл Вечности | item.var/241 Мантия Заклинателя | item.var/309 Перчатки Заклинателя | item.var/388 Кольцо Заклинателя | item_set.var/2 Одеяние Волшебника | item_set.var/5 Облачение Иллюзий | item_set.var/17 Артефакты Вечности,,data only,confirmed from data,Provider list truncated
